age,annual_income,loan_amount,loan_term_months,credit_score,employment_years,num_open_accounts,delinq_2yrs,revol_util,pub_records,purpose_score,home_ownership_score,default
48,23773.0,10004.0,60,490,7,2,1,150.0,1,5.0,1,0
27,17726.0,2736.0,60,575,1,4,3,88.0,1,4.0,2,0
47,53015.0,12034.0,36,560,5,1,7,150.0,2,7.0,1,0
29,25993.0,37644.0,36,577,3,7,3,40.0,1,7.0,2,0
26,25873.0,10451.0,60,673,6,2,0,150.0,0,6.0,1,0
19,50996.0,42571.0,36,549,1,17,7,150.0,2,7.0,1,0
61,39346.0,2797.0,36,783,11,6,2,150.0,0,7.0,1,0
50,16194.0,31758.0,36,675,2,4,5,150.0,1,7.0,2,0
41,30783.0,24052.0,36,632,7,8,1,103.0,1,7.0,2,0
34,52616.0,5282.0,60,462,3,5,1,40.0,1,5.0,1,0
47,43912.0,11910.0,36,704,13,6,5,150.0,1,7.0,2,0
47,48481.0,1795.0,36,484,0,7,2,40.0,1,6.0,1,0
30,20220.0,16104.0,36,649,3,3,8,87.0,1,6.0,1,0
55,44244.0,8658.0,36,638,6,9,10,55.0,1,4.0,2,0
48,36715.0,18386.0,60,609,4,1,2,42.0,1,7.0,1,0
48,26629.0,6719.0,36,491,3,0,1,150.0,0,5.0,1,0
46,58491.0,25896.0,36,510,26,5,5,148.0,3,9.0,0,0
54,32368.0,3576.0,36,778,1,2,1,150.0,1,6.0,1,0
50,68384.0,2804.0,36,347,12,6,3,81.0,3,5.0,1,0
31,27867.0,50000.0,36,445,1,8,3,140.0,2,8.0,1,0
35,33395.0,22679.0,36,592,4,8,1,150.0,1,6.0,2,0
30,55345.0,19677.0,36,800,7,2,4,10.0,0,7.0,1,0
36,29049.0,9514.0,36,639,7,3,4,148.0,0,4.0,1,0
32,37389.0,1025.0,60,775,8,4,1,1.0,0,7.0,1,0
42,49118.0,16145.0,60,468,4,11,2,63.0,1,7.0,2,0
39,33249.0,6389.0,60,480,2,1,1,121.0,0,4.0,1,0
24,29027.0,5563.0,60,382,15,1,2,150.0,1,5.0,2,0
55,42586.0,20579.0,36,481,1,4,1,150.0,1,5.0,1,0
44,19553.0,3607.0,60,525,4,4,2,34.0,1,5.0,1,0
56,12807.0,5036.0,36,647,11,2,2,82.0,2,5.0,1,0
49,25424.0,10506.0,60,747,3,3,1,150.0,1,6.0,1,0
35,29142.0,13873.0,36,679,4,6,0,150.0,0,7.0,2,0
35,33348.0,9508.0,36,516,9,2,0,150.0,1,5.0,1,0
49,51521.0,7437.0,60,686,14,5,5,121.0,1,6.0,1,0
35,38556.0,18600.0,60,620,1,2,5,150.0,1,6.0,2,0
48,39853.0,9430.0,36,459,6,2,2,101.0,0,5.0,1,0
28,47844.0,10653.0,36,762,18,6,4,98.0,0,6.0,2,0
48,55392.0,27153.0,60,576,7,6,5,150.0,0,4.0,2,0
46,20538.0,15648.0,36,685,7,4,1,150.0,0,5.0,1,1
52,30572.0,4612.0,36,772,4,5,3,27.0,0,7.0,2,0
37,27750.0,46775.0,36,472,2,10,4,150.0,1,7.0,2,0
42,19198.0,21750.0,36,422,0,0,3,150.0,1,8.0,1,0
34,30519.0,500.0,36,396,7,3,2,71.0,0,6.0,1,0
44,22451.0,47395.0,60,525,4,9,3,150.0,1,7.0,1,0
50,49504.0,20256.0,36,519,6,9,2,150.0,1,6.0,1,0
34,25314.0,7968.0,36,538,6,2,2,24.0,2,7.0,2,0
45,40211.0,9031.0,36,807,18,8,3,26.0,1,7.0,2,0
34,35088.0,11174.0,36,650,2,0,3,150.0,1,7.0,1,0
44,31353.0,9808.0,36,824,8,9,1,150.0,1,6.0,1,0
36,30403.0,10430.0,36,754,16,10,4,74.0,1,3.0,1,1
37,126163.0,30615.0,36,335,3,14,1,150.0,3,5.0,1,0
32,36026.0,10685.0,60,654,3,1,2,150.0,0,7.0,2,0
33,46440.0,500.0,60,514,2,5,1,26.0,0,5.0,2,0
47,64093.0,6080.0,60,838,1,3,7,142.0,1,6.0,2,0
56,53045.0,20866.0,60,695,3,0,4,70.0,1,5.0,2,0
61,8496.0,14360.0,36,766,11,15,6,105.0,2,5.0,2,1
33,26295.0,19592.0,60,725,2,1,2,73.0,2,6.0,2,1
22,29950.0,12401.0,60,609,12,5,2,150.0,1,5.0,2,0
18,30231.0,6685.0,72,768,5,2,2,150.0,1,7.0,1,0
31,27199.0,2926.0,36,551,1,2,3,94.0,0,5.0,1,0
52,39575.0,9837.0,60,540,0,8,7,150.0,1,4.0,1,0
36,77969.0,23334.0,36,464,1,12,1,26.0,2,5.0,1,0
26,32777.0,10916.0,36,758,1,0,3,134.0,0,7.0,1,0
33,49806.0,10877.0,60,538,1,9,4,75.0,1,5.0,1,0
41,20551.0,31801.0,36,561,4,6,4,0.0,0,7.0,2,0
54,38922.0,1003.0,36,755,16,5,1,150.0,1,6.0,2,0
38,51802.0,1998.0,36,752,3,4,6,150.0,1,6.0,2,0
37,54889.0,20224.0,60,391,7,11,3,118.0,2,7.0,1,0
57,34134.0,15309.0,60,512,5,7,2,16.0,0,6.0,1,0
21,62488.0,16947.0,36,495,7,12,2,103.0,2,4.0,1,0
37,23786.0,789.0,60,580,9,3,2,150.0,2,6.0,2,0
36,26513.0,38638.0,60,556,5,12,1,55.0,1,9.0,1,0
31,19821.0,7174.0,36,622,10,2,4,150.0,1,5.0,2,0
30,35890.0,8002.0,36,493,4,1,4,39.0,1,4.0,1,0
50,20083.0,13757.0,36,662,12,2,2,150.0,1,8.0,1,0
48,51311.0,1918.0,60,661,4,9,9,150.0,1,4.0,1,0
43,76996.0,22952.0,36,535,11,16,6,150.0,2,4.0,1,0
29,43663.0,3115.0,60,534,2,4,1,10.0,0,5.0,2,0
33,21049.0,27809.0,60,613,16,5,1,140.0,2,6.0,1,0
35,42548.0,18067.0,36,688,2,1,5,150.0,0,7.0,1,1
33,41259.0,25046.0,60,537,1,8,1,150.0,2,7.0,1,0
48,27328.0,41679.0,36,533,3,9,1,150.0,1,7.0,2,0
43,16075.0,2862.0,36,686,7,8,3,150.0,0,5.0,1,1
42,98533.0,14310.0,60,315,11,9,0,99.0,4,5.0,2,0
54,49257.0,16277.0,36,692,2,0,4,31.0,1,6.0,2,0
46,28441.0,23750.0,60,722,0,1,1,100.0,0,6.0,1,0
49,76624.0,34206.0,60,393,0,15,1,20.0,3,6.0,2,0
21,27631.0,28627.0,72,472,2,5,1,40.0,0,6.0,2,0
49,41033.0,5171.0,36,712,9,4,4,150.0,1,6.0,1,0
43,84007.0,10461.0,72,473,12,16,8,150.0,3,6.0,2,0
30,31826.0,8175.0,36,392,4,1,0,45.0,0,5.0,1,0
30,60336.0,1488.0,36,475,1,6,2,117.0,1,5.0,1,0
24,51809.0,10982.0,72,520,8,7,0,150.0,1,4.0,1,0
37,42337.0,5457.0,36,492,3,6,4,150.0,1,5.0,1,0
34,27674.0,8666.0,72,781,12,5,1,123.0,1,5.0,1,0
44,55156.0,6464.0,36,840,15,6,2,57.0,0,4.0,2,0
31,43903.0,14644.0,36,634,9,6,7,150.0,1,5.0,2,0
46,37190.0,2707.0,60,572,2,8,5,96.0,1,6.0,1,0
33,23980.0,18103.0,60,633,1,5,4,150.0,0,6.0,2,0
23,27691.0,17926.0,36,608,4,4,2,71.0,0,8.0,1,0
34,66438.0,10782.0,60,499,6,13,6,70.0,2,4.0,1,0
40,80144.0,12892.0,36,837,9,6,7,9.0,1,5.0,2,0
42,33820.0,5268.0,36,561,20,8,3,150.0,0,4.0,2,0
33,31485.0,3531.0,36,774,0,0,2,150.0,1,7.0,2,0
44,17143.0,33384.0,36,482,0,16,10,150.0,0,9.0,1,0
41,66868.0,16878.0,36,403,3,12,1,140.0,2,7.0,1,0
48,54493.0,7038.0,36,768,9,3,10,150.0,1,4.0,1,0
39,26007.0,3837.0,60,774,8,3,1,110.0,2,6.0,1,0
28,94010.0,15701.0,36,447,2,14,4,47.0,3,4.0,1,0
31,68476.0,27793.0,36,475,4,16,5,93.0,3,5.0,2,0
30,23552.0,43005.0,36,327,4,2,6,150.0,0,7.0,2,0
53,44130.0,27099.0,36,613,5,0,1,52.0,0,7.0,2,1
48,12278.0,9844.0,36,770,12,15,2,150.0,1,4.0,2,1
38,23825.0,21858.0,36,684,4,5,2,107.0,0,7.0,1,0
32,23944.0,26003.0,36,583,12,6,2,150.0,1,6.0,1,0
46,28849.0,36639.0,60,482,4,5,1,150.0,1,7.0,1,0
46,36007.0,7201.0,60,463,4,5,4,150.0,1,5.0,1,0
34,54576.0,18674.0,36,523,1,11,4,47.0,1,6.0,1,0
43,23466.0,18302.0,60,577,19,1,1,150.0,0,9.0,2,0
42,76908.0,2769.0,60,589,2,2,5,12.0,1,5.0,1,1
21,57580.0,3371.0,36,640,31,13,7,105.0,2,8.0,2,0
54,17166.0,16705.0,36,637,1,2,4,150.0,1,4.0,1,1
44,82848.0,25232.0,36,479,1,13,3,97.0,3,5.0,1,0
41,65621.0,500.0,60,510,1,4,1,117.0,1,4.0,2,0
31,30645.0,11886.0,36,634,10,1,1,103.0,0,8.0,1,0
33,55042.0,15136.0,72,505,10,8,1,150.0,1,3.0,2,0
35,24916.0,11899.0,60,850,5,6,1,52.0,1,6.0,2,0
18,21696.0,18107.0,36,678,4,4,8,150.0,1,5.0,1,1
40,32234.0,24953.0,60,790,1,2,1,150.0,0,6.0,1,0
38,36186.0,8579.0,36,641,3,3,0,139.0,0,7.0,1,0
37,40771.0,11465.0,36,698,21,11,5,47.0,0,8.0,2,0
48,31976.0,20080.0,36,778,12,9,0,23.0,1,3.0,2,1
31,34688.0,7132.0,36,524,1,6,5,84.0,0,6.0,1,0
34,49682.0,2043.0,60,375,7,4,3,38.0,2,4.0,2,0
60,36608.0,30391.0,36,466,5,8,1,150.0,0,8.0,1,0
57,49560.0,1843.0,60,705,3,2,7,144.0,1,6.0,2,0
58,82689.0,5571.0,36,765,6,5,8,150.0,2,5.0,1,0
28,112486.0,16822.0,60,390,0,11,1,150.0,3,5.0,1,0
32,49483.0,1072.0,60,681,1,1,1,93.0,2,5.0,1,1
51,45504.0,4539.0,60,784,2,1,5,128.0,0,6.0,1,0
40,29733.0,5354.0,60,788,1,3,1,32.0,0,4.0,2,1
31,25138.0,13670.0,36,416,3,3,0,110.0,0,7.0,1,0
46,36307.0,27046.0,60,490,3,8,1,95.0,0,7.0,1,0
59,43988.0,29425.0,60,534,6,12,0,150.0,2,6.0,2,0
49,39088.0,6948.0,36,798,0,2,0,150.0,1,6.0,2,0
57,17614.0,16787.0,36,657,1,5,4,150.0,1,8.0,1,0
23,55948.0,7624.0,36,749,28,8,1,139.0,1,7.0,1,0
50,47109.0,9347.0,36,828,13,13,8,150.0,0,7.0,1,0
56,31931.0,18444.0,36,556,9,13,2,150.0,1,7.0,1,0
35,41292.0,15855.0,36,634,14,6,3,150.0,1,7.0,1,0
40,42079.0,6231.0,60,498,1,5,3,147.0,1,5.0,1,0
33,49361.0,27348.0,36,547,1,15,7,150.0,1,6.0,2,0
33,33933.0,15476.0,36,744,1,3,1,125.0,0,6.0,2,0
18,48437.0,7271.0,36,742,4,3,3,148.0,1,5.0,2,0
35,24173.0,32322.0,36,548,2,7,1,150.0,1,7.0,1,0
42,40842.0,27573.0,60,538,1,4,6,150.0,3,7.0,2,0
42,39907.0,3242.0,60,806,3,1,1,72.0,1,7.0,1,0
28,22928.0,27217.0,36,683,2,7,5,83.0,1,7.0,1,0
35,57133.0,1450.0,60,841,17,15,9,150.0,1,7.0,1,0
33,29719.0,13700.0,60,653,9,1,0,30.0,0,7.0,1,0
52,45162.0,22985.0,36,625,1,8,0,150.0,1,6.0,1,0
37,42646.0,32260.0,60,469,18,2,0,150.0,2,8.0,1,0
50,53337.0,25067.0,36,598,3,3,6,150.0,2,6.0,1,0
34,44690.0,25262.0,72,410,2,5,0,34.0,2,5.0,1,0
35,24656.0,14826.0,36,559,5,3,2,150.0,1,5.0,1,1
63,50585.0,20609.0,60,464,6,8,1,150.0,1,5.0,2,0
43,41687.0,30351.0,60,850,13,17,7,150.0,2,6.0,2,0
51,21223.0,4304.0,60,492,6,1,0,150.0,0,7.0,1,0
40,65665.0,25959.0,36,467,7,10,2,128.0,2,6.0,2,0
45,52253.0,10814.0,60,497,6,6,3,150.0,1,4.0,2,0
40,36476.0,8002.0,36,753,9,5,3,79.0,0,7.0,2,0
32,27257.0,17323.0,72,622,1,4,1,150.0,0,7.0,2,0
48,42799.0,15334.0,60,542,12,6,0,150.0,0,4.0,2,0
30,56862.0,17294.0,36,506,2,12,4,50.0,1,5.0,1,0
53,21871.0,2986.0,60,740,1,1,6,84.0,0,5.0,2,1
36,31501.0,7619.0,60,526,1,1,1,85.0,0,4.0,1,0
32,52762.0,3537.0,36,699,13,13,9,150.0,0,4.0,1,0
43,45904.0,12584.0,60,690,16,10,7,12.0,1,5.0,2,0
36,24166.0,47602.0,36,436,3,7,1,136.0,1,8.0,2,0
43,59701.0,35766.0,36,625,11,18,8,150.0,1,6.0,1,0
29,35042.0,16589.0,60,835,4,0,3,150.0,1,6.0,1,0
38,33567.0,21194.0,60,388,5,1,0,93.0,1,5.0,3,0
29,80610.0,9722.0,36,711,23,8,6,130.0,2,7.0,1,0
21,20619.0,15023.0,60,395,9,7,0,56.0,0,5.0,1,0
41,28401.0,1628.0,36,529,2,4,1,27.0,0,4.0,2,0
36,43270.0,18567.0,36,500,5,1,2,85.0,0,4.0,2,0
35,22370.0,20876.0,60,781,1,6,5,150.0,1,8.0,2,1
35,27966.0,16226.0,60,495,5,2,1,55.0,0,5.0,2,0
45,50773.0,500.0,60,706,5,0,4,150.0,1,6.0,2,0
49,34558.0,20327.0,60,484,2,4,0,5.0,1,5.0,2,0
38,58441.0,27753.0,36,706,7,2,2,150.0,1,6.0,2,1
46,27455.0,41165.0,36,737,26,15,5,150.0,1,6.0,1,0
36,26160.0,37305.0,36,399,1,3,4,125.0,0,7.0,2,0
57,22874.0,5620.0,60,480,5,1,1,150.0,1,5.0,1,0
42,59320.0,9518.0,60,850,6,9,9,69.0,1,5.0,1,0
49,140376.0,36268.0,60,536,1,20,8,18.0,4,5.0,1,0
40,42631.0,500.0,36,850,7,0,3,148.0,1,4.0,1,0
44,55333.0,17131.0,60,567,6,4,4,144.0,1,3.0,1,1
38,33620.0,4821.0,36,626,7,9,0,150.0,0,7.0,1,0
27,45771.0,14376.0,36,764,1,5,2,11.0,0,6.0,2,1
53,38910.0,17825.0,60,685,0,4,1,31.0,0,6.0,1,1
33,39009.0,1787.0,36,802,13,7,0,150.0,1,5.0,2,0
42,23377.0,15076.0,36,755,0,1,2,13.0,1,8.0,1,0
40,25436.0,3875.0,60,444,4,1,3,2.0,0,5.0,1,0
40,22651.0,7461.0,36,688,10,5,10,136.0,0,4.0,1,0
33,37670.0,33082.0,60,575,14,10,4,150.0,0,4.0,1,0
45,64747.0,39136.0,60,444,1,16,4,25.0,2,6.0,1,0
27,53281.0,18849.0,36,703,13,0,0,144.0,1,6.0,1,0
47,43980.0,5133.0,72,688,4,10,8,42.0,1,4.0,1,0
28,21821.0,15122.0,36,314,2,2,3,52.0,0,6.0,1,0
37,30584.0,15026.0,36,798,4,2,0,5.0,0,6.0,2,1
34,26879.0,32926.0,60,693,3,7,2,150.0,0,6.0,1,0
24,66944.0,6554.0,60,786,1,7,2,150.0,1,5.0,1,1
65,38686.0,21645.0,36,585,19,1,1,61.0,1,8.0,2,0
32,26045.0,14917.0,60,713,9,5,8,41.0,1,4.0,2,0
54,47845.0,28202.0,60,334,9,8,2,150.0,2,7.0,2,0
49,64876.0,3431.0,36,623,0,13,7,150.0,2,4.0,0,0
37,43345.0,4403.0,60,597,5,4,1,150.0,1,7.0,1,0
43,42954.0,525.0,36,714,3,2,0,20.0,0,7.0,1,0
31,22878.0,2628.0,60,419,4,2,3,74.0,0,7.0,1,0
58,48717.0,7507.0,36,560,4,8,4,124.0,1,4.0,2,0
31,38400.0,4360.0,60,793,3,3,3,20.0,0,6.0,1,0
44,27950.0,5547.0,72,532,3,4,2,33.0,0,6.0,1,0
49,72854.0,20081.0,60,660,19,18,8,150.0,2,3.0,1,0
47,37543.0,32301.0,36,561,11,3,1,113.0,1,7.0,1,0
34,31307.0,36282.0,36,615,6,2,7,23.0,1,4.0,2,0
26,40968.0,5469.0,60,448,5,6,2,150.0,1,6.0,2,0
45,29802.0,2050.0,60,475,1,1,1,139.0,0,5.0,1,0
38,38862.0,16197.0,36,573,2,8,4,150.0,1,5.0,1,0
36,34444.0,29789.0,36,600,5,6,1,150.0,1,7.0,1,0
47,25067.0,10154.0,36,685,6,1,3,144.0,1,6.0,2,1
33,42389.0,19558.0,60,850,11,11,5,78.0,1,6.0,2,0
47,34386.0,27922.0,60,837,2,2,1,71.0,1,4.0,1,1
37,23397.0,15666.0,36,823,6,7,5,150.0,1,7.0,1,0
48,24157.0,7170.0,36,502,7,4,3,104.0,1,5.0,2,0
39,36674.0,12407.0,36,850,2,6,1,144.0,1,4.0,2,1
49,29390.0,3386.0,36,703,15,5,5,74.0,1,4.0,1,0
39,30489.0,4477.0,36,825,2,4,1,29.0,1,6.0,2,0
30,81311.0,23144.0,60,570,10,18,7,150.0,2,5.0,2,0
40,21996.0,13762.0,60,627,0,5,2,150.0,0,8.0,1,0
31,63645.0,19795.0,72,771,5,1,5,150.0,0,6.0,1,0
39,58504.0,28994.0,60,406,2,7,1,150.0,2,4.0,2,0
45,16735.0,6283.0,36,803,3,8,4,150.0,1,4.0,2,1
34,36956.0,500.0,36,445,4,2,3,50.0,1,5.0,1,0
46,46415.0,15318.0,36,634,19,10,3,150.0,0,4.0,2,0
42,42430.0,2591.0,36,769,3,2,4,59.0,0,7.0,0,0
21,37118.0,3287.0,36,758,18,11,4,150.0,0,7.0,1,0
40,43577.0,7963.0,36,784,9,10,5,150.0,0,6.0,2,0
35,29725.0,10289.0,36,580,7,5,2,69.0,0,5.0,1,0
49,53313.0,3793.0,36,491,12,7,1,150.0,1,4.0,1,0
32,52339.0,12280.0,36,396,10,4,3,31.0,1,6.0,0,0
27,57020.0,10585.0,36,427,1,10,1,1.0,1,6.0,1,0
41,42839.0,32055.0,36,850,2,4,0,67.0,0,6.0,2,1
33,33490.0,8336.0,36,519,1,7,5,49.0,0,6.0,1,0
46,39607.0,6888.0,36,842,1,3,5,150.0,0,6.0,2,0
38,57693.0,4309.0,60,811,9,4,4,29.0,1,6.0,2,0
44,44528.0,26427.0,36,630,8,11,3,10.0,1,6.0,2,1
47,18558.0,26454.0,36,587,16,2,2,150.0,2,6.0,1,0
53,40058.0,29339.0,60,547,4,12,5,92.0,1,6.0,1,0
36,72034.0,16142.0,60,623,2,5,4,39.0,1,4.0,1,1
42,52320.0,10778.0,60,609,1,3,5,105.0,2,6.0,1,0
44,30635.0,3274.0,60,596,15,9,3,66.0,1,6.0,2,0
30,26174.0,2268.0,36,639,3,2,1,150.0,1,8.0,1,0
46,26719.0,3642.0,60,587,19,7,4,150.0,0,8.0,2,0
44,27378.0,37251.0,36,556,11,7,1,150.0,1,8.0,2,0
35,41788.0,21434.0,60,634,10,0,2,87.0,1,7.0,1,0
27,18997.0,6015.0,36,688,11,8,1,150.0,0,5.0,1,1
23,37804.0,16224.0,60,683,6,6,1,92.0,0,6.0,2,0
46,43234.0,4262.0,72,773,4,1,0,66.0,0,6.0,1,1
39,42371.0,2130.0,36,778,0,4,5,150.0,0,6.0,1,0
41,31205.0,20242.0,60,663,8,10,7,7.0,0,5.0,1,0
64,18868.0,6972.0,60,513,9,6,6,150.0,3,7.0,2,0
35,20826.0,16474.0,36,614,7,4,2,150.0,1,4.0,1,0
33,37699.0,11301.0,36,642,11,0,2,150.0,1,7.0,2,0
46,90067.0,21770.0,36,466,10,3,2,32.0,2,3.0,2,0
48,30936.0,8994.0,36,597,8,1,1,150.0,1,5.0,1,0
21,50944.0,5791.0,60,744,2,1,3,108.0,0,7.0,1,0
37,64875.0,3280.0,60,527,3,8,2,80.0,1,5.0,1,0
46,46678.0,18663.0,60,655,21,9,3,150.0,0,3.0,1,0
51,36728.0,9543.0,60,537,4,7,0,150.0,1,8.0,2,0
38,62767.0,7208.0,60,801,8,5,5,150.0,1,6.0,1,0
42,41264.0,17222.0,60,493,3,6,3,39.0,1,6.0,1,0
41,21753.0,21859.0,60,509,9,3,2,132.0,1,7.0,1,0
41,68546.0,3576.0,60,467,5,7,2,150.0,1,4.0,1,0
59,60895.0,20636.0,60,407,1,8,1,43.0,2,5.0,1,0
47,34689.0,18678.0,36,720,11,1,1,39.0,0,7.0,2,0
18,59984.0,1402.0,60,786,9,11,10,150.0,1,5.0,1,0
41,42730.0,22895.0,36,632,6,10,1,150.0,1,6.0,2,0
47,24788.0,7916.0,36,830,5,3,3,91.0,1,7.0,3,0
41,12765.0,2714.0,36,617,13,12,4,1.0,0,4.0,1,1
30,50355.0,19853.0,36,471,6,9,0,150.0,0,6.0,2,0
25,19072.0,50000.0,36,467,18,2,3,150.0,2,9.0,2,0
43,50590.0,4395.0,36,370,8,5,0,47.0,1,7.0,2,0
50,47154.0,855.0,36,850,1,0,1,88.0,1,5.0,1,1
43,41891.0,28092.0,36,570,9,4,1,2.0,0,6.0,2,1
56,76986.0,8379.0,36,424,4,8,1,60.0,2,5.0,1,0
45,67177.0,15674.0,36,547,4,9,3,150.0,2,4.0,2,0
44,32668.0,18237.0,36,387,8,4,1,6.0,1,3.0,2,0
43,55722.0,12097.0,36,592,5,10,4,96.0,1,5.0,2,0
44,33601.0,3007.0,72,819,1,2,1,12.0,1,6.0,1,0
32,93075.0,7070.0,36,569,3,13,7,4.0,3,2.0,1,0
29,32560.0,19168.0,36,603,13,8,2,150.0,0,5.0,1,0
45,42247.0,8800.0,60,668,4,3,0,148.0,1,7.0,1,0
45,30168.0,7016.0,60,807,9,2,1,125.0,1,6.0,2,0
45,13413.0,4907.0,36,587,12,5,0,150.0,2,5.0,2,0
33,26507.0,24535.0,60,577,6,10,4,150.0,1,4.0,2,1
39,33658.0,21640.0,36,641,10,9,4,124.0,0,6.0,1,0
33,37798.0,7850.0,36,667,11,6,4,150.0,0,7.0,2,0
21,40946.0,3640.0,60,429,7,1,1,150.0,1,5.0,1,0
48,29639.0,2468.0,72,804,8,1,1,4.0,1,6.0,1,0
41,30558.0,4236.0,60,600,11,3,1,150.0,1,5.0,2,0
40,34760.0,18675.0,60,593,16,8,1,150.0,1,6.0,2,0
53,41653.0,11745.0,36,610,13,9,1,130.0,1,5.0,1,0
40,43697.0,4171.0,60,600,4,8,3,55.0,0,6.0,1,0
55,52666.0,25263.0,36,485,2,0,1,105.0,1,3.0,1,0
20,36223.0,1910.0,36,797,3,1,3,150.0,0,6.0,1,0
18,71208.0,31263.0,60,449,3,11,2,15.0,3,6.0,1,0
18,28275.0,30075.0,60,524,19,2,1,122.0,1,8.0,1,0
46,37024.0,12115.0,36,639,1,4,2,64.0,0,7.0,1,0
44,49259.0,17512.0,36,629,2,1,4,24.0,2,6.0,2,0
34,54736.0,18049.0,36,488,2,12,3,57.0,2,6.0,2,0
30,65685.0,10253.0,36,397,9,4,1,57.0,3,4.0,2,0
54,45308.0,5431.0,36,731,3,3,4,79.0,0,7.0,2,0
55,68189.0,9925.0,36,485,3,8,2,104.0,1,5.0,2,0
34,47647.0,10020.0,36,820,9,3,3,146.0,1,5.0,2,0
28,42142.0,12534.0,60,850,1,5,4,138.0,1,6.0,1,0
36,43774.0,500.0,36,723,2,2,2,22.0,0,6.0,1,0
49,86436.0,18108.0,36,541,9,19,4,113.0,2,6.0,2,0
39,21941.0,40311.0,36,712,3,1,3,26.0,0,6.0,2,0
25,33884.0,26427.0,60,660,10,12,7,18.0,0,6.0,1,0
25,18460.0,3469.0,36,546,4,5,2,91.0,1,5.0,1,0
27,149706.0,31103.0,60,467,4,20,7,32.0,4,4.0,2,0
50,49490.0,16156.0,60,629,18,6,7,21.0,2,8.0,2,0
38,47413.0,14769.0,60,746,16,8,5,150.0,1,7.0,2,0
22,33770.0,37464.0,36,495,10,14,2,150.0,2,7.0,1,0
52,58740.0,2577.0,60,488,2,11,6,150.0,2,5.0,1,0
36,35813.0,27900.0,36,559,15,1,2,136.0,2,7.0,1,0
62,27366.0,35585.0,36,655,4,3,1,122.0,0,6.0,1,0
27,49763.0,23818.0,36,722,10,6,7,137.0,0,8.0,2,0
49,50214.0,7388.0,60,584,8,9,4,57.0,1,4.0,2,0
29,36078.0,45895.0,72,474,2,10,2,150.0,2,6.0,2,0
41,68539.0,1488.0,60,818,4,6,8,150.0,1,5.0,1,0
31,56337.0,28934.0,60,552,14,17,4,150.0,1,6.0,1,0
56,75399.0,27592.0,60,591,8,15,4,111.0,2,5.0,2,0
35,30393.0,17550.0,60,481,10,12,6,150.0,1,4.0,2,1
38,97212.0,18933.0,36,513,24,1,3,77.0,4,7.0,2,0
37,42929.0,24612.0,36,515,0,8,3,23.0,1,6.0,1,0
46,36765.0,15788.0,72,647,4,6,0,101.0,0,7.0,2,0
43,43734.0,4196.0,60,663,2,3,1,133.0,0,7.0,1,0
42,35743.0,11343.0,36,516,1,2,5,78.0,1,4.0,1,0
49,28133.0,26825.0,72,581,7,2,1,150.0,1,7.0,1,0
51,32264.0,38717.0,36,599,8,4,4,9.0,1,5.0,2,1
52,34108.0,34306.0,60,543,8,4,0,26.0,2,8.0,2,0
42,60946.0,27269.0,36,493,8,10,2,150.0,2,5.0,1,0
24,34210.0,18498.0,60,571,7,5,1,98.0,0,7.0,1,1
36,31431.0,17680.0,60,454,10,10,4,150.0,0,5.0,1,1
27,38477.0,18963.0,72,528,9,9,1,150.0,0,7.0,1,0
53,28855.0,572.0,36,850,2,3,3,55.0,2,4.0,1,1
24,64128.0,13222.0,36,604,21,7,6,122.0,2,6.0,1,0
46,36371.0,33793.0,60,358,14,4,0,127.0,3,8.0,1,0
40,52858.0,23648.0,36,580,13,4,0,150.0,2,7.0,2,0
39,75403.0,9045.0,36,479,2,12,1,47.0,1,7.0,2,0
32,21741.0,21652.0,36,628,2,6,4,150.0,1,8.0,1,0
41,38221.0,10552.0,60,488,1,4,4,109.0,1,4.0,1,0
43,69399.0,11787.0,36,380,0,9,2,57.0,2,6.0,2,0
54,20152.0,17845.0,36,736,2,5,3,150.0,1,7.0,1,0
36,39977.0,23554.0,36,850,2,8,7,41.0,1,6.0,1,0
44,22192.0,10855.0,36,647,11,1,3,150.0,1,8.0,1,0
35,26395.0,28708.0,60,557,8,4,2,150.0,0,5.0,2,0
50,35137.0,1771.0,36,550,5,3,2,20.0,0,4.0,2,0
26,30907.0,1857.0,36,757,2,0,1,78.0,1,6.0,1,0
41,82322.0,12728.0,36,310,17,8,0,150.0,3,7.0,2,0
46,47521.0,30389.0,36,594,13,2,4,6.0,2,6.0,1,0
43,44701.0,43408.0,60,553,4,16,7,43.0,1,7.0,1,0
36,29717.0,24487.0,60,680,7,6,2,150.0,0,5.0,2,0
34,31175.0,26698.0,36,647,2,8,5,3.0,0,7.0,2,1
42,26264.0,14389.0,60,748,7,1,2,58.0,1,6.0,2,0
53,21123.0,18408.0,36,485,2,7,2,150.0,1,5.0,1,0
35,33576.0,30835.0,36,566,8,6,1,150.0,1,7.0,1,0
32,33208.0,23053.0,36,850,6,3,6,150.0,1,6.0,1,0
56,67183.0,5142.0,60,391,7,8,1,150.0,2,6.0,1,0
40,71257.0,22206.0,60,606,2,17,8,150.0,2,5.0,2,0
52,34895.0,25146.0,36,454,5,5,0,150.0,0,5.0,2,0
41,49275.0,2758.0,60,718,11,5,5,20.0,1,6.0,2,0
52,84600.0,33382.0,60,482,2,17,5,23.0,3,5.0,1,0
37,61026.0,9420.0,60,850,3,6,5,150.0,0,5.0,1,0
45,42555.0,3199.0,60,699,3,0,1,18.0,1,6.0,2,1
